Mstar = 8.9948e+32 g 
Rstar = 32271200000.0 cm 
Twind = 4500000.0 K 
Mdot = 1.26121179257e+11 g/s 
cs = 27271094.1264 cm/s
rs = 40335015185.2 cm
R (cm)    density (g/cm^3)    Vr (cm/s)   
11.3071742485    9.54963214746e-22    78932001.6724    
11.4181217947    9.34297137968e-22    79117684.4344    
11.5290693409    9.14280401767e-22    79301246.9153    
11.640016887    8.94886411979e-22    79482733.4906    
11.7509644332    8.760899039e-22    79662187.8861    
11.8619119794    8.57866880021e-22    79839651.7139    
11.9728595256    8.40194516722e-22    80015166.2615    
12.0838070718    8.23051115223e-22    80188770.703    
12.1947546179    8.06416021889e-22    80360503.5624    
12.3057021641    7.90269572331e-22    80530402.3883    
12.4166497103    7.74593042025e-22    80698503.1039    
12.5275972565    7.59368582923e-22    80864841.1448    
12.6385448026    7.44579184237e-22    81029450.4837    
12.7494923488    7.30208619027e-22    81192364.4428    
12.860439895    7.1624140322e-22    81353615.5319    
12.9713874412    7.02662759871e-22    81513234.9603    
13.0823349874    6.89458574387e-22    81671253.4496    
13.1932825335    6.76615365028e-22    81827700.5837    
13.3042300797    6.64120244316e-22    81982605.4587    
13.4151776259    6.51960893413e-22    82135996.0329    
13.5261251721    6.40125526337e-22    82287899.9395    
13.6370727183    6.28602867822e-22    82438343.8365    
13.7480202644    6.17382124895e-22    82587353.7316    
13.8589678106    6.06452961433e-22    82734955.145    
13.9699153568    5.95805481279e-22    82881172.2963    
14.080862903    5.85430194783e-22    83026029.7303    
14.1918104492    5.75318010401e-22    83169550.6915    
14.3027579953    5.6546020846e-22    83311758.0991    
14.4137055415    5.55848424355e-22    83452674.3849    
14.5246530877    5.46474633667e-22    83592321.1678    
14.6356006339    5.37331133816e-22    83730719.5791    
14.7465481801    5.28410526835e-22    83867890.5875    
14.8574957262    5.19705710218e-22    84003854.1865    
14.9684432724    5.11209857132e-22    84138630.3695    
15.0793908186    5.02916409636e-22    84272238.1547    
15.1903383648    4.94819061477e-22    84404696.3977    
15.3012859109    4.86911746716e-22    84536023.7915    
15.4122334571    4.79188635388e-22    84666237.7289    
15.5231810033    4.71644111875e-22    84795356.2527    
15.6341285495    4.64272775395e-22    84923396.268    
15.7450760957    4.57069425103e-22    85050374.5172    
15.8560236418    4.50029052237e-22    85176307.4177    
15.966971188    4.43146831769e-22    85301211.0619    
16.0779187342    4.36418115297e-22    85425101.0542    
16.1888662804    4.2983842344e-22    85547992.5119    
16.2998138266    4.23403436196e-22    85669900.5517    
16.4107613727    4.17108987837e-22    85790839.9658    
16.5217089189    4.10951061982e-22    85910824.8957    
