      Mpl (Mjup) =           0.074
       Rpl (Rjup)=           0.365
          T0 (K) =        1000.000
      rho0 (g/cc)=   4.0000000E-13
        P0 (nbar)=   3.2994619E+01
       a_pl (au) =           0.029
    R_roche (Rp) =           6.178
      Lxuv (Lsun)=   2.1709539E-07
Fxuv_pl (erg/cm2/s)  3.5481481E+02
         epsilon =           0.320
     h nu_0 (eV) =          20.000
    Mstar (Msun) =           0.452
       u0 (cm/s) =         158.834
    vesc0 (km/s) =          26.706
      Mdot (g/s) =   5.4766825E+09
        x (Rpl)       u (km/s)     rho (g/cc)    P (dyn/cm2)          T (K)   Q (erg/cc/s) Prad(erg/cc/s)            tau     Mdot (g/s)      n_H0(/cc)      n_e (/cc)f_ion (n_e/n_H)             mu
     1.01300000     0.00225099 2.7504948E-013 1.7675099E-002         779.05 2.9877985E-012 1.1516442E-067 1.6282479E+001 5.4766825E+009 1.6440407E+011 8.8111313E+005 5.3594076E-006     0.99999464
     1.01400000     0.00232105 2.6622143E-013 1.6739778E-002         762.30 6.5156779E-012 3.7458442E-069 1.5470182E+001 5.4766825E+009 1.5912733E+011 8.3532741E+005 5.2494001E-006     0.99999475
     1.01500000     0.00239487 2.5750677E-013 1.5836566E-002         745.57 1.3834362E-011 1.0639097E-070 1.4683956E+001 5.4766825E+009 1.5391837E+011 7.9822743E+005 5.1860171E-006     0.99999481
     1.01600000     0.00247275 2.4890563E-013 1.4964949E-002         728.88 2.8607570E-011 2.6327081E-072 1.3923468E+001 5.4766825E+009 1.4877724E+011 7.7416073E+005 5.2034617E-006     0.99999480
     1.01700000     0.00255502 2.4041782E-013 1.4124413E-002         712.23 5.7631156E-011 5.6921708E-074 1.3188380E+001 5.4766825E+009 1.4370384E+011 7.7163607E+005 5.3695985E-006     0.99999463
     1.01800000     0.00264204 2.3204265E-013 1.3314450E-002         695.62 1.1313985E-010 1.0858832E-075 1.2478361E+001 5.4766825E+009 1.3869773E+011 8.0628477E+005 5.8132177E-006     0.99999419
     1.01900000     0.00273424 2.2377851E-013 1.2534557E-002         679.06 2.1651174E-010 1.8551854E-077 1.1793076E+001 5.4766825E+009 1.3375792E+011 9.0546807E+005 6.7694082E-006     0.99999323
     1.02000000     0.00283210 2.1562223E-013 1.1784244E-002         662.56 4.0399149E-010 2.8693133E-079 1.1132196E+001 5.4766825E+009 1.2888246E+011 1.1148891E+006 8.6503582E-006     0.99999135
     1.02100000     0.00293624 2.0756809E-013 1.1063038E-002         646.15 7.3517668E-010 3.9948321E-081 1.0495407E+001 5.4766825E+009 1.2406788E+011 1.5068932E+006 1.2145568E-005     0.99998785
     1.02200000     0.00304738 1.9960638E-013 1.0370494E-002         629.86 1.3050471E-009 4.8905630E-083 9.8824051E+000 5.4766825E+009 1.1930826E+011 2.1882822E+006 1.8341078E-005     0.99998166
     1.02300000     0.00316651 1.9172134E-013 9.7062137E-003         613.76 2.2600969E-009 5.1273767E-085 9.2929217E+000 5.4766825E+009 1.1459403E+011 3.3018544E+006 2.8812664E-005     0.99997119
     1.02400000     0.00329495 1.8388846E-013 9.0698693E-003         597.95 3.8185441E-009 4.5601186E-087 8.7267299E+000 5.4766825E+009 1.0991039E+011 5.0117458E+006 4.5596394E-005     0.99995441
     1.02500000     0.00343453 1.7607127E-013 8.4612372E-003         582.59 6.2931049E-009 3.5235577E-089 8.1836787E+000 5.4766825E+009 1.0523537E+011 7.4644189E+006 7.0925671E-005     0.99992908
     1.02600000     0.00358786 1.6821793E-013 7.8802444E-003         567.92 1.0112177E-008 2.5445996E-091 7.6637285E+000 5.4766825E+009 1.0053793E+011 1.0735140E+007 1.0676561E-004     0.99989325
     1.02700000     0.00375872 1.6025888E-013 7.3270218E-003         554.27 1.5830896E-008 1.9767004E-093 7.1669879E+000 5.4766825E+009 9.5776522E+010 1.4798026E+007 1.5448191E-004     0.99984554
     1.02800000     0.00395245 1.5210757E-013 6.8019625E-003         542.13 2.4116881E-008 2.0742215E-095 6.6937761E+000 5.4766825E+009 9.0899493E+010 1.9553500E+007 2.1506495E-004     0.99978498
     1.02900000     0.00417651 1.4366743E-013 6.3057671E-003         532.10 3.5689779E-008 4.0841550E-097 6.2446622E+000 5.4766825E+009 8.5849247E+010 2.4888308E+007 2.8982310E-004     0.99971026
     1.03000000     0.00444100 1.3484906E-013 5.8394489E-003         524.98 5.1192256E-008 2.3097688E-098 5.8205021E+000 5.4766825E+009 8.0572435E+010 3.0705617E+007 3.8094814E-004     0.99961920
     1.03100000     0.00475881 1.2559924E-013 5.4042625E-003         521.63 7.0987367E-008 6.0966061E-099 5.4224178E+000 5.4766825E+009 7.5037350E+010 3.6907813E+007 4.9161743E-004     0.99950862
     1.03200000     0.00514541 1.1593740E-013 5.0015210E-003         522.99 9.4922360E-008 1.1916963E-098 5.0516803E+000 5.4766825E+009 6.9255731E+010 4.3368758E+007 6.2581994E-004     0.99937457
     1.03300000     0.00561770 1.0598485E-013 4.6323000E-003         529.87 1.2215808E-007 2.3657253E-097 4.7095071E+000 5.4766825E+009 6.3300250E+010 4.9926380E+007 7.8810168E-004     0.99921252
     1.03400000     0.00619218 9.5966239E-014 4.2970878E-003         542.84 1.5119660E-007 5.0279114E-095 4.3967471E+000 5.4766825E+009 5.7305369E+010 5.6397762E+007 9.8319428E-004     0.99901777
     1.03500000     0.00688269 8.6171613E-014 3.9954997E-003         562.11 1.8016131E-007 8.8331391E-092 4.1135873E+000 5.4766825E+009 5.1444634E+010 6.2605203E+007 1.2154642E-003     0.99878601
     1.03600000     0.00769854 7.6890930E-014 3.7261732E-003         587.50 2.0723489E-007 7.6821120E-088 3.8593609E+000 5.4766825E+009 4.5891508E+010 6.8401548E+007 1.4882873E-003     0.99851392
     1.03700000     0.00864363 6.8351675E-014 3.4868836E-003         618.45 2.3105045E-007 1.7597318E-083 3.6325401E+000 5.4766825E+009 4.0782066E+010 7.3686465E+007 1.8035763E-003     0.99819967
