  1.00e+04  8.49e-24
  1.26e+04  4.29e-23
  1.58e+04  1.28e-22
  2.00e+04  1.14e-22
  2.51e+04  9.10e-23
  3.16e+04  9.83e-23
  3.98e+04  1.28e-22
  5.01e+04  1.91e-22
  6.31e+04  3.03e-22
  7.94e+04  4.35e-22
  1.00e+05  5.02e-22
  1.26e+05  4.62e-22
  1.58e+05  4.98e-22
  2.00e+05  5.46e-22
  2.51e+05  5.36e-22
  3.16e+05  3.02e-22
  3.98e+05  1.70e-22
  5.01e+05  1.50e-22
  6.31e+05  1.36e-22
  7.94e+05  1.27e-22
  1.00e+06  1.26e-22
  1.26e+06  1.17e-22
  1.58e+06  1.07e-22
  2.00e+06  8.37e-23
  2.51e+06  5.61e-23
  3.16e+06  4.01e-23
  3.98e+06  3.37e-23
  5.01e+06  3.26e-23
  6.31e+06  3.41e-23
  7.94e+06  3.51e-23
  1.00e+07  3.32e-23
  1.26e+07  2.80e-23
  1.58e+07  2.22e-23
  2.00e+07  1.92e-23
  2.51e+07  1.83e-23
  3.16e+07  1.86e-23
  3.98e+07  1.95e-23
  5.01e+07  2.09e-23
  6.31e+07  2.26e-23
  7.94e+07  2.47e-23
  1.00e+08  2.70e-23
